disease,feature_block,feature,mean_abs_shap,std_abs_shap,n_folds
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Norw. Waldkatze,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Norw. Waldkatze-Mischling,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Oriental. Kurzhaar,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Perser,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Persermischling,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Ragdoll,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Russisch Blau,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Siam,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Siam-Mischling,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Sib. Waldkatze-Mix,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Singapura,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Sphinx,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Thai,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Tonkanese (Katze),0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__breed_Türkisch Angora,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_1999-01-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_1999-03-30,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_1999-06-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2000-10-23,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2001-01-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2001-05-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2001-05-15,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2001-06-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2001-07-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2001-08-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2001-12-28,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2002-01-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2002-04-19,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2002-05-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2002-06-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2003-01-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2003-03-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2003-05-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2003-05-12,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2003-05-22,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2003-06-26,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2003-09-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2004-01-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2004-05-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2004-05-20,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2004-07-31,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2004-08-03,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2004-09-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2004-11-14,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-01-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-03-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-03-17,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-03-26,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-03-28,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-04-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-04-27,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-04-30,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-05-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-06-30,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-07-28,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-10-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-10-22,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2005-12-31,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-01-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-03-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-03-07,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2006-05-01,0.0,0.0,5
