disease,feature_block,fold,feature_name,rank,mean_abs_shap_fold
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__neutrophil count (x 10^9/L),1.0,1.6689076613290261
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__body weight,2.0,1.338060294506733
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__leukocyte count,3.0,1.1099328685208967
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__hospitalization time (days),4.0,0.9965928721235565
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__neuter status_intact,5.0,0.7440118064446121
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__Na value,6.0,0.6578547128505492
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__BUN concentration,7.0,0.6199714244681763
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__initial hematocrit,8.0,0.6155538895081939
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__hematocrit interpretation_lower limit,9.0,0.5548179853421907
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__CREA concentration ,10.0,0.5214198941202867
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__Albumin concentration (in g/l),11.0,0.5199202925168628
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__K value,12.0,0.5097252709511585
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__Initial total protein concentration (in g/l),13.0,0.3510734358942029
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly vaccinated_no,14.0,0.350978133487211
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Na interpreatation_decreased,15.0,0.3344283255343037
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly vaccinated_Missing,16.0,0.32871647312267344
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__lymphocyte count,17.0,0.31378830470212415
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__altitude (MASL),18.0,0.295579635474987
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__Cl value,19.0,0.2803552984162585
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly dewormed_yes,20.0,0.2511272274505394
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__lymphocyte count interpreatation_lower limit,21.0,0.1758434479620112
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__initial total protein interpreatation_upper limit,22.0,0.1407913414181828
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__breed_EKH,23.0,0.11796755090768409
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__urban or rural region_village,24.0,0.11266353678813582
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__neuter status_neutered,25.0,0.09610223890210708
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__left shift_no,26.0,0.09601803191131403
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__CREA interpretation_physiological,27.0,0.09589926706674684
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly dewormed_no,28.0,0.08313513089399062
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__fecal examination_Missing,29.0,0.08200634906396562
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__hospitalization time (days)__missing,30.0,0.07364982433744949
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__hematocrit interpretation_decreased,31.0,0.07164193599170764
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Albumin interpretation_physiological,32.0,0.06290944683630487
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__sex_F,33.0,0.04940019171981923
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__travel history_Missing,34.0,0.04578338901285532
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Na interpreatation_physiological,35.0,0.04381306248459608
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Cl interpreatation_increased,36.0,0.038190362891691566
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Albumin interpretation_lower limit,37.0,0.036941364633307716
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__travel history_no,38.0,0.03649550754974719
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__leukocyte count interpreatation_physiological,39.0,0.035840669321309096
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__BARF diet_Missing,40.0,0.03518345058367921
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__Na interpreatation_lower limit,41.0,0.03377368526218232
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__K interpreatation_lower limit,42.0,0.03012315914765935
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly vaccinated_yes,43.0,0.030120026565921717
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__neutrophil count interpretation_upper limit,44.0,0.029937779321633724
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__urban or rural region_small town,45.0,0.02984235521586813
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__BUN interpreattion_physiological,46.0,0.022969900674044443
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,num__CREA concentration __missing,47.0,0.021567398144076513
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__CREA interpretation_lower limit,48.0,0.017229267137936887
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__sex_M,49.0,0.01717211056891285
acute flare-up of triaditis/chronic enteropathy,clinical_only,1,cat__regularly dewormed_Missing,50.0,0.016881679539441495
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__neutrophil count (x 10^9/L),1.0,1.5525280797496286
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__body weight,2.0,1.0228147734362165
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__Na value,3.0,0.8254547117407539
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__leukocyte count,4.0,0.8143196318073402
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__K value,5.0,0.8115116499133284
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__hospitalization time (days),6.0,0.6602822014514912
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__Albumin concentration (in g/l),7.0,0.6473562622925876
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__CREA concentration ,8.0,0.6367315092454645
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__lymphocyte count,9.0,0.6320536698125981
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__neuter status_intact,10.0,0.6314524988778761
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__BUN concentration,11.0,0.5943444655338342
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly dewormed_yes,12.0,0.5831835395161805
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__Initial total protein concentration (in g/l),13.0,0.34735376967595694
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__initial hematocrit,14.0,0.3259784870444801
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly dewormed_no,15.0,0.29247381109875964
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__Cl value,16.0,0.2613280783006116
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__altitude (MASL),17.0,0.20895989583202343
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__urban or rural region_village,18.0,0.2087168077181188
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__fecal examination_Missing,19.0,0.1940094437368956
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__urban or rural region_small town,20.0,0.19284540133424416
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__breed_EKH,21.0,0.17952012541996537
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__Albumin interpretation_physiological,22.0,0.17819389610518596
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__hematocrit interpretation_lower limit,23.0,0.15755950677344008
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__Na interpreatation_decreased,24.0,0.13834616510378367
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__CREA interpretation_physiological,25.0,0.1379434620120208
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__Albumin interpretation_upper limit,26.0,0.13705970471712292
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__leukocyte count interpreatation_upper limit,27.0,0.12433854630493635
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__Na interpreatation_physiological,28.0,0.12027858707898718
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__CREA interpretation_lower limit,29.0,0.10296766542315254
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__neutrophil count interpretation_upper limit,30.0,0.10289689178014554
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly vaccinated_no,31.0,0.10237821005440324
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__hospitalization time (days)__missing,32.0,0.08852347181352473
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__BUN interpreattion_upper limit,33.0,0.08773200875029238
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__hematocrit interpretation_decreased,34.0,0.08159966653750025
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__K interpreatation_lower limit,35.0,0.07536602650627351
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__lymphocyte count interpreatation_physiological,36.0,0.07116800859398884
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__BUN interpreattion_physiological,37.0,0.06764571466000867
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly dewormed_Missing,38.0,0.06398148797518247
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__initial total protein interpreatation_physiological,39.0,0.06312162922033077
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly vaccinated_Missing,40.0,0.05563843577472653
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__regularly vaccinated_yes,41.0,0.04788817407704948
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__left shift_no,42.0,0.04106697383710457
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__sex_F,43.0,0.040157965267301386
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__travel history_Missing,44.0,0.03705479794160193
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__K interpreatation_physiological,45.0,0.03262169783851121
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__urban or rural region_city,46.0,0.029683693853889106
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__Albumin concentration (in g/l)__missing,47.0,0.027932315233673552
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__CREA interpretation_upper limit,48.0,0.027727543914547716
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,cat__BUN interpreattion_increased,49.0,0.027236836744072512
acute flare-up of triaditis/chronic enteropathy,clinical_only,2,num__Cl value__missing,50.0,0.021384061380890357
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__neutrophil count (x 10^9/L),1.0,1.5156911130523933
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__body weight,2.0,1.160258272511409
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__regularly dewormed_yes,3.0,0.9326469216743571
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__K value,4.0,0.8668880795293998
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__leukocyte count,5.0,0.837411563160083
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__hospitalization time (days),6.0,0.7828649975906646
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__CREA concentration ,7.0,0.6523259952412573
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__neuter status_intact,8.0,0.5317475982251978
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__Initial total protein concentration (in g/l),9.0,0.5120281454491419
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__Albumin concentration (in g/l),10.0,0.4627295585832143
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__Na value,11.0,0.4542093815092073
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__Na interpreatation_decreased,12.0,0.4396811026830971
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__initial hematocrit,13.0,0.4108475240495231
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__Cl value,14.0,0.4049737840703922
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__BUN concentration,15.0,0.39175378992208315
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__lymphocyte count,16.0,0.39125204680281334
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__regularly dewormed_no,17.0,0.25120068569697224
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__Albumin interpretation_upper limit,18.0,0.24017289029949226
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__hospitalization time (days)__missing,19.0,0.21267932819051694
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__BARF diet_Missing,20.0,0.2021350207391655
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__regularly vaccinated_no,21.0,0.18744313938109136
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__hematocrit interpretation_decreased,22.0,0.1704607125696235
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__BUN interpreattion_lower limit,23.0,0.15817668035858704
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__urban or rural region_small town,24.0,0.1366405089056446
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__altitude (MASL),25.0,0.135818215147901
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__travel history_Missing,26.0,0.13556988384404814
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__initial total protein interpreatation_physiological,27.0,0.11573852282903475
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__Albumin interpretation_physiological,28.0,0.1002472517367661
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__urban or rural region_village,29.0,0.08968859649727559
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__K interpreatation_lower limit,30.0,0.08511062782235057
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__regularly dewormed_Missing,31.0,0.08194948761193159
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__Albumin interpretation_increased,32.0,0.08118531308941476
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__breed_EKH,33.0,0.07432796380372542
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__fecal examination_Missing,34.0,0.0740430543678785
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__neuter status_neutered,35.0,0.04683980739459207
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__urban or rural region_city,36.0,0.04067991681244091
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,num__Cl value__missing,37.0,0.04032978485418699
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__left shift_no,38.0,0.037755930501683174
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__regularly vaccinated_Missing,39.0,0.03343672777339666
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__BUN interpreattion_increased,40.0,0.033245298549582955
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__K interpreatation_physiological,41.0,0.03216208158626939
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__CREA interpretation_physiological,42.0,0.03152914159450263
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__BUN interpreattion_physiological,43.0,0.029782694503441686
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__sex_M,44.0,0.029032766603383844
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__regularly vaccinated_yes,45.0,0.027459037567806276
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__Albumin interpretation_lower limit,46.0,0.027319214052888657
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__initial total protein interpreatation_upper limit,47.0,0.02400853178624114
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__Na interpreatation_physiological,48.0,0.023442815163595802
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__initial total protein interpreatation_lower limit,49.0,0.023355900773534926
acute flare-up of triaditis/chronic enteropathy,clinical_only,3,cat__sex_F,50.0,0.02176861522974484
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__body weight,1.0,1.5887995734626958
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__leukocyte count,2.0,1.4386066648269291
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__neutrophil count (x 10^9/L),3.0,1.1149046868783037
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__lymphocyte count,4.0,1.0373020708899647
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__CREA concentration ,5.0,0.9902832455540074
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__hospitalization time (days),6.0,0.8920645235501486
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__Cl value,7.0,0.6917784295509373
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__Na interpreatation_decreased,8.0,0.6482454308615445
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__BUN concentration,9.0,0.6310403494396022
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__regularly dewormed_yes,10.0,0.6015890904391289
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__Initial total protein concentration (in g/l),11.0,0.5848579873315444
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__K value,12.0,0.5219964055785717
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__neuter status_intact,13.0,0.4254606776005924
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__Albumin concentration (in g/l),14.0,0.32494137432594167
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__initial hematocrit,15.0,0.32385389827046973
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__Na value,16.0,0.3144671425822449
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__altitude (MASL),17.0,0.23483077298396862
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__hospitalization time (days)__missing,18.0,0.1776777788103153
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__urban or rural region_small town,19.0,0.17145340514256005
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__breed_EKH,20.0,0.14410903815950876
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__neutrophil count interpretation_physiological,21.0,0.14016806790110992
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__sex_F,22.0,0.12513675651555306
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__regularly dewormed_no,23.0,0.11531334224958627
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__lymphocyte count interpreatation_lower limit,24.0,0.10894625262418514
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__BUN interpreattion_physiological,25.0,0.10119007152886117
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__regularly dewormed_Missing,26.0,0.09873686834399574
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__hematocrit interpretation_lower limit,27.0,0.08338777500154206
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__Albumin interpretation_physiological,28.0,0.0750231238143703
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__regularly vaccinated_Missing,29.0,0.07217892779025993
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__regularly vaccinated_no,30.0,0.064426432410838
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__K interpreatation_lower limit,31.0,0.04830101129511286
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__hematocrit interpretation_upper limit,32.0,0.0453178928050723
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__initial total protein interpreatation_physiological,33.0,0.042618264143165274
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__Na interpreatation_lower limit,34.0,0.04259593790421988
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__neutrophil count interpretation_lower limit,35.0,0.04113975574183572
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__neuter status_neutered,36.0,0.03259814884018596
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__travel history_no,37.0,0.031030020861107982
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__urban or rural region_city,38.0,0.028879573587798493
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__Albumin interpretation_lower limit,39.0,0.021504637516718397
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__CREA interpretation_upper limit,40.0,0.0213357418794524
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__sex_M,41.0,0.018987116381265656
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__leukocyte count interpreatation_physiological,42.0,0.01844906461881113
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__initial total protein interpreatation_upper limit,43.0,0.014686053946377632
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__travel history_Missing,44.0,0.013836484516777879
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__fecal examination_Missing,45.0,0.012397105193192988
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__Albumin interpretation_increased,46.0,0.012123052835675508
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__BUN interpreattion_lower limit,47.0,0.011501192084569494
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__left shift_no,48.0,0.011205630220836617
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,cat__leukocyte count interpreatation_upper limit,49.0,0.010496919726006854
acute flare-up of triaditis/chronic enteropathy,clinical_only,4,num__BUN concentration__missing,50.0,0.010212318591798027
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__hospitalization time (days),1.0,1.402596478281652
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__regularly dewormed_yes,2.0,1.3650215555272764
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__body weight,3.0,1.3157806319601464
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__CREA concentration ,4.0,1.2587341797836709
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__neutrophil count (x 10^9/L),5.0,1.098233582257859
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__leukocyte count,6.0,0.8293036764871018
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__hematocrit interpretation_lower limit,7.0,0.7029275459745428
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__K value,8.0,0.6724131577840583
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__lymphocyte count,9.0,0.6516555171726895
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__Na interpreatation_decreased,10.0,0.5904203251769344
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__Initial total protein concentration (in g/l),11.0,0.4919944217393926
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__initial hematocrit,12.0,0.44305248562229593
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__Na value,13.0,0.41498153956270517
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__neuter status_intact,14.0,0.3655946878659589
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__Albumin concentration (in g/l),15.0,0.25820472675555783
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__BUN concentration,16.0,0.23981992401203317
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__hospitalization time (days)__missing,17.0,0.23641338275823442
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__sex_F,18.0,0.23119490708020277
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__Cl value,19.0,0.20836691277755975
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__breed_EKH,20.0,0.18987395593221817
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__fecal examination_Missing,21.0,0.15749344092050455
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__urban or rural region_small town,22.0,0.13486737598283924
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__CREA interpretation_lower limit,23.0,0.12521536561682764
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__K interpreatation_lower limit,24.0,0.11279394057955196
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__Cl interpreatation_upper limit,25.0,0.10533763396880992
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__regularly dewormed_Missing,26.0,0.094633785721928
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__neuter status_neutered,27.0,0.08140294062547114
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__altitude (MASL),28.0,0.06780290950196041
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__urban or rural region_village,29.0,0.065319869491284
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__regularly dewormed_no,30.0,0.06357640784135533
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__regularly vaccinated_yes,31.0,0.04705455498849854
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__hematocrit interpretation_physiological,32.0,0.04581200738657866
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__neutrophil count interpretation_upper limit,33.0,0.039827441803597076
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__regularly vaccinated_no,34.0,0.03111629008093357
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__leukocyte count interpreatation_lower limit,35.0,0.030590944880893804
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__hematocrit interpretation_decreased,36.0,0.028074622418998114
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__Albumin interpretation_increased,37.0,0.02726777692210091
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__Cl interpreatation_increased,38.0,0.022519455877865316
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__K interpreatation_physiological,39.0,0.02079961886883401
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__BUN interpreattion_lower limit,40.0,0.020008371262431775
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__left shift_no,41.0,0.019957301691635478
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__BUN interpreattion_increased,42.0,0.019281743815255055
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__travel history_no,43.0,0.018456950217489342
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,num__BUN concentration__missing,44.0,0.01822087315061448
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__leukocyte count interpreatation_physiological,45.0,0.017578952847023058
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__Albumin interpretation_physiological,46.0,0.01338979076316996
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__sex_M,47.0,0.013166208438828894
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__leukocyte count interpreatation_upper limit,48.0,0.013151122995197776
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__Cl interpreatation_physiological,49.0,0.012802256597454745
acute flare-up of triaditis/chronic enteropathy,clinical_only,5,cat__travel history_Missing,50.0,0.011450280078175137
acute flare-up of triaditis/chronic enteropathy,combined,1,num__neutrophil count (x 10^9/L),1.0,1.1345378385336897
acute flare-up of triaditis/chronic enteropathy,combined,1,num__body weight,2.0,0.9379836106612394
acute flare-up of triaditis/chronic enteropathy,combined,1,num__leukocyte count,3.0,0.8851801019127645
